Month,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded,ada_start_date,price_open,price_close,volume_traded
January,2018-01-01T00:00:00.0000000Z,13971.1,10101.6,147606.2192,2018-01-01T00:00:00.0000000Z,744.39,1105.3,1379339.521,2018-01-01T00:00:00.0000000Z,230.32,162.3,839765.7763,2018-01-01T00:00:00.0000000Z,1.0191,0.985,132529405.2,2017-08-01T00:00:00.0000000Z,0.016269,0.01706,185501601.3,2018-01-01T00:00:00.0000000Z,1.99004,1.1202,765445473.4,2018-01-01T00:00:00.0000000Z,479.76,393.93,102428.976,2018-01-01T00:00:00.0000000Z,1027.191,689.5,61271.89094,2018-01-01T00:00:00.0000000Z,0,0,0
February,2018-02-01T00:00:00.0000000Z,10105.5,10310,311097.4752,2018-02-01T00:00:00.0000000Z,1105.3,850.1,1779320.569,2018-02-01T00:00:00.0000000Z,162.33,201.84,1374386.344,2018-02-01T00:00:00.0000000Z,0.9852,0.9999,104279588.7,2018-02-01T00:00:00.0000000Z,0.4539,0.330001,36573919.94,2018-02-01T00:00:00.0000000Z,1.12014,0.88697,634496464.6,2018-02-01T00:00:00.0000000Z,393.81,380.3,76193.44256,2018-02-01T00:00:00.0000000Z,689.5,582.368,44776.54752,2018-02-01T00:00:00.0000000Z,0,0,0
March,2018-03-01T00:00:00.0000000Z,10309,6911.1,364738.9201,2018-03-01T00:00:00.0000000Z,850.11,392.4,1917408.272,2018-03-01T00:00:00.0000000Z,201.73,115.84,781253.7172,2018-03-01T00:00:00.0000000Z,0.9996,0.9972,58388950.16,2018-03-01T00:00:00.0000000Z,0.331,0.203963,193677865.6,2018-03-01T00:00:00.0000000Z,0.88485,0.49841,347274241.2,2018-03-01T00:00:00.0000000Z,380,184.13,50285.68862,2018-03-01T00:00:00.0000000Z,580,303.719,49763.2118,2018-03-01T00:00:00.0000000Z,0,0,0
April,2018-04-01T00:00:00.0000000Z,6913.8,9243.2,217398.7008,2018-04-01T00:00:00.0000000Z,393.25,669.57,1888070.603,2018-04-01T00:00:00.0000000Z,115.85,148.38,596343.1359,2018-04-01T00:00:00.0000000Z,0.9972,1.0002,45585032.72,2018-04-01T00:00:00.0000000Z,0.206096,0.424,253355561.2,2018-04-01T00:00:00.0000000Z,0.49842,0.83101,329374751.4,2018-04-01T00:00:00.0000000Z,184.13,284.41,44602.21027,2018-04-01T00:00:00.0000000Z,303.809,473.475,38776.38426,2018-04-01T00:00:00.0000000Z,0,0,0
May,2018-05-01T00:00:00.0000000Z,9246.5,7485.6,133746.8669,2018-05-01T00:00:00.0000000Z,670.13,577.54,1531224.429,2018-05-01T00:00:00.0000000Z,148.41,118.18,423442.1127,2018-05-01T00:00:00.0000000Z,1.0001,0.9987,58077690.06,2018-05-01T00:00:00.0000000Z,0.423999,0.296636,141081709.9,2018-05-01T00:00:00.0000000Z,0.83103,0.61108,210808758.2,2018-05-01T00:00:00.0000000Z,284.42,239.43,91506.98776,2018-05-01T00:00:00.0000000Z,473.475,304.394,25859.24255,2018-05-01T00:00:00.0000000Z,0,0,0
June,2018-06-01T00:00:00.0000000Z,7490.9,6387.9,120310.7878,2018-06-01T00:00:00.0000000Z,577.35,453.05,1667017.016,2018-06-01T00:00:00.0000000Z,118.16,81.06,333144.3466,2018-06-01T00:00:00.0000000Z,0.9989,0.9987,36871978.34,2018-06-01T00:00:00.0000000Z,0.297199,0.192017,105439340.1,2018-06-01T00:00:00.0000000Z,0.60989,0.46871,143490713.5,2018-06-01T00:00:00.0000000Z,240.04,170.67,27875.66694,2018-06-01T00:00:00.0000000Z,305.4,239.024,21546.51809,2018-06-01T00:00:00.0000000Z,0,0,0
July,2018-07-01T00:00:00.0000000Z,6387,7726,124102.3679,2018-07-01T00:00:00.0000000Z,453,431.67,1095661.15,2018-07-01T00:00:00.0000000Z,81.36,78.75,245140.1215,2018-07-01T00:00:00.0000000Z,0.9987,0.998,37605962.77,2018-07-01T00:00:00.0000000Z,0.193298,0.275147,271137976,2018-07-01T00:00:00.0000000Z,0.46781,0.43454,116261117.4,2018-07-01T00:00:00.0000000Z,170.66,209.23,56803.61617,2018-07-01T00:00:00.0000000Z,239.9,217.576,44737.57765,2018-07-01T00:00:00.0000000Z,0,0,0
August,2018-08-01T00:00:00.0000000Z,7726,7015.8,149781.1599,2018-08-01T00:00:00.0000000Z,431.76,281.6,1413788.197,2018-08-01T00:00:00.0000000Z,78.8,62.16,273683.6112,2018-08-01T00:00:00.0000000Z,0.998,0.9998,35234873.1,2018-08-01T00:00:00.0000000Z,0.275201,0.223409,169869171.4,2018-08-01T00:00:00.0000000Z,0.43454,0.335,151551556.2,2018-08-01T00:00:00.0000000Z,208.01,150.01,59883.33471,2018-08-01T00:00:00.0000000Z,218.793,195.1,62024.40518,2018-08-01T00:00:00.0000000Z,0,0,0
September,2018-09-01T00:00:00.0000000Z,7014.8,6604.1,120259.6769,2018-09-01T00:00:00.0000000Z,281.59,231.96,3099220.865,2018-09-01T00:00:00.0000000Z,62.08,60.96,334817.7563,2018-09-01T00:00:00.0000000Z,0.9995,0.9964,55500514.98,2018-09-01T00:00:00.0000000Z,0.223517,0.25967,169657536.5,2018-09-01T00:00:00.0000000Z,0.33518,0.5792,393379584.6,2018-09-01T00:00:00.0000000Z,150.12,129.87,51178.43574,2018-09-01T00:00:00.0000000Z,194.704,186.31,49986.4595,2018-09-01T00:00:00.0000000Z,0.3,0.085512,7543097.95
October,2018-10-01T00:00:00.0000000Z,6603.8,6307.5,80038.91905,2018-10-01T00:00:00.0000000Z,231.96,196.88,1443435.17,2018-10-01T00:00:00.0000000Z,61,49.42,250814.3911,2018-10-01T00:00:00.0000000Z,0.9967,0.9919,168685461,2018-10-01T00:00:00.0000000Z,0.258002,0.224888,77526854.07,2018-10-01T00:00:00.0000000Z,0.5798,0.45,228336841.2,2018-10-01T00:00:00.0000000Z,129.71,115.16,39803.52398,2018-10-01T00:00:00.0000000Z,187.59,152.199,25417.59634,2018-10-01T00:00:00.0000000Z,0.0855,0.069731,59723408.88
