,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,ada_start_date,price_open,price_close,volume_traded,0,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,lisk_start_date,price_open,price_close,volume_traded,waves_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,sc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded
0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-01T00:00:00.0000000Z,0.758226,0.705487,595123.36592361,2019-10-01T00:00:00.0000000Z,0.7204,0.7775,164153.01798544,,,,,2019-10-01T00:00:00.0000000Z,0.00188,0.00199,37382153.90389286,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-01T00:00:00.0000000Z,0.711102,0.554753,236685.99081599,2019-11-01T00:00:00.0000000Z,0.7849,0.6023,227670.50086418,,,,,2019-11-01T00:00:00.0000000Z,0.002,0.00161,82564045.14813721,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-01T00:00:00.0000000Z,0.5798,1.0105,2027183.85683547,,,,,2019-12-01T00:00:00.0000000Z,0.0016,0.0013,53897657.77504342,,,,,,,,
4,,,,,,,,,,,,,2019-01-01T00:00:00.0000000Z,0.040388,0.038247,124152466.80825666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,2019-02-01T00:00:00.0000000Z,0.03807,0.042765,93318811.3441736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,2019-03-01T00:00:00.0000000Z,0.042789,0.069574,184693811.4042636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,2019-04-01T00:00:00.0000000Z,0.069363,0.06931,236411442.8201005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,2019-05-01T00:00:00.0000000Z,0.069323,0.089212,340109459.00401765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,2019-06-01T00:00:00.0000000Z,0.089,0.082022,419634787.03405076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,2019-07-01T00:00:00.0000000Z,0.081446,0.060128,247609298.58302575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,2019-08-01T00:00:00.0000000Z,0.060128,0.044879,261738347.1501845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,2019-09-01T00:00:00.0000000Z,0.0448,0.038933,295518322.4975679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
