,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,ada_start_date,price_open,price_close,volume_traded,doge_start_date,price_open,price_close,volume_traded,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,lisk_start_date,price_open,price_close,volume_traded,waves_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,sc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded
1,,,,,,,,,,,,,,,,,2020-01-01T00:00:00.0000000Z,0.0020099,0.0023636,144359962.47915483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,2020-02-01T00:00:00.0000000Z,0.0023593,0.0022133,317556965.9463435,,,,,,,,,2020-01-01T00:00:00.0000000Z,0.552755,1.149,292597.50257229,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,2020-03-01T00:00:00.0000000Z,0.0022132,0.00179,305375570.0768375,,,,,,,,,2020-02-01T00:00:00.0000000Z,1.036572,1.281456,1595833.6400624,2020-01-01T00:00:00.0000000Z,1.014,0.8841,1496916.42471263,,,,,2020-01-01T00:00:00.0000000Z,0.0013,0.0016,120958863.8807912,,,,,,,,
4,,,,,,,,,,,,,,,,,2020-04-01T00:00:00.0000000Z,0.0017882,0.0023374,207984084.2935252,,,,,,,,,2020-03-01T00:00:00.0000000Z,1.283764,0.977245,752377.12639653,2020-02-01T00:00:00.0000000Z,0.8847,1.1298,1902734.19913326,,,,,2020-02-01T00:00:00.0000000Z,0.0016,0.00227,423629704.7214274,,,,,,,,
5,,,,,,,,,,,,,,,,,2020-05-01T00:00:00.0000000Z,0.0024632,0.0025378,236250086.270174,,,,,,,,,2020-04-01T00:00:00.0000000Z,0.966875,1.218623,2522336.46137106,2020-03-01T00:00:00.0000000Z,1.1293,0.9968,1636154.72170622,,,,,2020-03-01T00:00:00.0000000Z,0.00227,0.00128,412374136.5940702,,,,,,,,
6,,,,,,,,,,,,,,,,,2020-06-01T00:00:00.0000000Z,0.0025567,0.0023029,194199055.20211005,,,,,,,,,2020-05-01T00:00:00.0000000Z,1.229269,1.19798,544785.5118763,2020-04-01T00:00:00.0000000Z,0.9703,1.0552,1307004.38557928,,,,,2020-04-01T00:00:00.0000000Z,0.00124,0.00205,344590199.3498358,,,,,,,,
7,,,,,,,,,,,,,,,,,2020-07-01T00:00:00.0000000Z,0.0023047,0.0032214,3692148941.9367085,,,,,,,,,2020-06-01T00:00:00.0000000Z,1.197982,1.145737,459618.98947315,2020-05-01T00:00:00.0000000Z,1.0808,1.0908,1277462.93036537,,,,,2020-05-01T00:00:00.0000000Z,0.00212,0.00235,494496735.07387054,,,,,,,,
8,,,,,,,,,,,,,,,,,2020-08-01T00:00:00.0000000Z,0.003214,0.0032268,1052103058.1549723,,,,,,,,,2020-07-01T00:00:00.0000000Z,1.137183,1.280154,478859.96207952,2020-06-01T00:00:00.0000000Z,1.0909,1.1258,1378321.29345629,,,,,2020-06-01T00:00:00.0000000Z,0.00237,0.00281,926797920.7534158,,,,,,,,
9,,,,,,,,,,,,,,,,,2020-09-01T00:00:00.0000000Z,0.0032122,0.0026279,843058126.1746632,,,,,,,,,2020-08-01T00:00:00.0000000Z,1.291871,1.799,1534766.03501466,2020-07-01T00:00:00.0000000Z,1.1255,1.5239,2524069.05133196,,,,,2020-07-01T00:00:00.0000000Z,0.00279,0.00305,862186014.2249272,,,,,,,,
10,,,,,,,,,,,,,,,,,2020-10-01T00:00:00.0000000Z,0.002657,0.0025752,597389422.5026581,,,,,,,,,2020-09-01T00:00:00.0000000Z,1.795903,1.196873,816619.43633878,2020-08-01T00:00:00.0000000Z,1.5264,3.6183,7949640.37999423,,,,,2020-08-01T00:00:00.0000000Z,0.00305,0.00458,1128242838.3595388,,,,,,,,
11,,,,,,,,,,,,,,,,,2020-11-01T00:00:00.0000000Z,0.0025616,0.003545,851897524.9627188,,,,,,,,,2020-10-01T00:00:00.0000000Z,1.182999,1.052737,403997.2637343,2020-09-01T00:00:00.0000000Z,3.5996,2.5682,2851237.18383214,,,,,2020-09-01T00:00:00.0000000Z,0.00458,0.00308,551848488.4879576,,,,,,,,
12,,,,,,,,,,,,,,,,,2020-12-01T00:00:00.0000000Z,0.0035606,0.0046843,3262857497.27188,,,,,,,,,2020-11-01T00:00:00.0000000Z,1.031689,1.328984,839585.87154972,2020-10-01T00:00:00.0000000Z,2.5738,3.2141,3504454.38928431,,,,,2020-10-01T00:00:00.0000000Z,0.0031,0.00247,385476983.1028466,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-01T00:00:00.0000000Z,1.328611,1.14625,967971.7620906,2020-11-01T00:00:00.0000000Z,3.2167,7.0667,3910160.34976961,,,,,2020-11-01T00:00:00.0000000Z,0.00249,0.00338,826923135.0341421,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-01T00:00:00.0000000Z,7.0815,6.2,3006900.73110844,,,,,2020-12-01T00:00:00.0000000Z,0.00337,0.00312,925394492.2089401,,,,,,,,
