Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded,DOGE_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,LISK_start_date,price_close,volume_traded,WAVES_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,SC_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,LINK_start_date,price_close,volume_traded,SOL_start_date,price_close,volume_traded
Jan,2020-12-29T00:00:00.0000000Z,32238.8,25472.78249,2020-12-29T00:00:00.0000000Z,775.01,193567.8242,2020-12-29T00:00:00.0000000Z,136.92,260730.1404,2020-12-29T00:00:00.0000000Z,0.177523,84449136.3,2020-12-29T00:00:00.0000000Z,0.0105776,2430586878,2020-12-29T00:00:00.0000000Z,0.127517,29952761.18,2020-12-29T00:00:00.0000000Z,0.22108,161996365.5,2020-12-29T00:00:00.0000000Z,1.143472,54009.55269,2020-12-29T00:00:00.0000000Z,5.5972,288524.462,2020-12-29T00:00:00.0000000Z,0.22108,161996365.5,2020-12-29T00:00:00.0000000Z,5.5972,288524.462,2020-12-29T00:00:00.0000000Z,1.0009,182778141.3,2020-12-29T00:00:00.0000000Z,86.919,39994.46242,2020-12-29T00:00:00.0000000Z,12.20905,1142745.217,2020-12-29T00:00:00.0000000Z,0,0
Jan,2021-01-03T00:00:00.0000000Z,39489,67616.26288,2021-01-03T00:00:00.0000000Z,1226.18,1411777.261,2021-01-03T00:00:00.0000000Z,169.79,995343.6901,2021-01-03T00:00:00.0000000Z,0.299293,459302963,2021-01-03T00:00:00.0000000Z,0.0097676,3352247210,2021-01-03T00:00:00.0000000Z,0.313104,535303757.4,2021-01-03T00:00:00.0000000Z,0.32407,729312816.7,2021-01-03T00:00:00.0000000Z,1.349527,332034.6268,2021-01-03T00:00:00.0000000Z,5.946,1497491.896,2021-01-03T00:00:00.0000000Z,0.32407,729312816.7,2021-01-03T00:00:00.0000000Z,5.946,1497491.896,2021-01-03T00:00:00.0000000Z,1.0012,465441296.4,2021-01-03T00:00:00.0000000Z,99.062,117371.5929,2021-01-03T00:00:00.0000000Z,16.00165,6408398.232,2021-01-03T00:00:00.0000000Z,0,0
Jan,2021-01-08T00:00:00.0000000Z,34046.4,74167.00652,2021-01-08T00:00:00.0000000Z,1049.98,1229538.89,2021-01-08T00:00:00.0000000Z,133.35,973521.8667,2021-01-08T00:00:00.0000000Z,0.288926,368589297.8,2021-01-08T00:00:00.0000000Z,0.0080586,1477986496,2021-01-08T00:00:00.0000000Z,0.279842,278401187.4,2021-01-08T00:00:00.0000000Z,0.29251,623707703.3,2021-01-08T00:00:00.0000000Z,1.239707,261060.1161,2021-01-08T00:00:00.0000000Z,6.0024,1702509.993,2021-01-08T00:00:00.0000000Z,0.29251,623707703.3,2021-01-08T00:00:00.0000000Z,6.0024,1702509.993,2021-01-08T00:00:00.0000000Z,0.9998,467647478,2021-01-08T00:00:00.0000000Z,128.493,161256.538,2021-01-08T00:00:00.0000000Z,14.03144,4610343.46,2021-01-08T00:00:00.0000000Z,0,0
Jan,2021-01-13T00:00:00.0000000Z,35816.4,54593.73876,2021-01-13T00:00:00.0000000Z,1233.24,787118.5567,2021-01-13T00:00:00.0000000Z,142.71,373270.9628,2021-01-13T00:00:00.0000000Z,0.381833,341564555.4,2021-01-13T00:00:00.0000000Z,0.0090783,782791479.3,2021-01-13T00:00:00.0000000Z,0.3035,144887034.6,2021-01-13T00:00:00.0000000Z,0.27732,242523468.2,2021-01-13T00:00:00.0000000Z,1.40526,196798.6188,2021-01-13T00:00:00.0000000Z,7.3756,1216040.13,2021-01-13T00:00:00.0000000Z,0.27732,242523468.2,2021-01-13T00:00:00.0000000Z,7.3756,1216040.13,2021-01-13T00:00:00.0000000Z,0.9997,269702754,2021-01-13T00:00:00.0000000Z,123.742,68972.03423,2021-01-13T00:00:00.0000000Z,23.3,8001736.865,2021-01-13T00:00:00.0000000Z,0,0
Jan,2021-01-18T00:00:00.0000000Z,33000,57642.5953,2021-01-18T00:00:00.0000000Z,1234.03,1013890.239,2021-01-18T00:00:00.0000000Z,138.41,450339.1039,2021-01-18T00:00:00.0000000Z,0.349574,277899878.8,2021-01-18T00:00:00.0000000Z,0.0084628,389412345.6,2021-01-18T00:00:00.0000000Z,0.26995,101462987.7,2021-01-18T00:00:00.0000000Z,0.27282,276374484.4,2021-01-18T00:00:00.0000000Z,1.349826,239222.923,2021-01-18T00:00:00.0000000Z,6.4294,1268052.866,2021-01-18T00:00:00.0000000Z,0.27282,276374484.4,2021-01-18T00:00:00.0000000Z,6.4294,1268052.866,2021-01-18T00:00:00.0000000Z,1.0007,359768491.8,2021-01-18T00:00:00.0000000Z,105.083,52779.39608,2021-01-18T00:00:00.0000000Z,21.59386,4364632.842,2021-01-18T00:00:00.0000000Z,0,0
Jan,2021-01-23T00:00:00.0000000Z,30424.2,40127.92601,2021-01-23T00:00:00.0000000Z,1240.68,830892.5631,2021-01-23T00:00:00.0000000Z,122.74,299618.7909,2021-01-23T00:00:00.0000000Z,0.3125,141536658.4,2021-01-23T00:00:00.0000000Z,0.0074546,218869859.7,2021-01-23T00:00:00.0000000Z,0.239138,49773144.04,2021-01-23T00:00:00.0000000Z,0.25103,120101607.7,2021-01-23T00:00:00.0000000Z,1.233814,148864.6244,2021-01-23T00:00:00.0000000Z,6.0499,575683.0657,2021-01-23T00:00:00.0000000Z,0.25103,120101607.7,2021-01-23T00:00:00.0000000Z,6.0499,575683.0657,2021-01-23T00:00:00.0000000Z,1.0018,274940902.9,2021-01-23T00:00:00.0000000Z,96.857,27034.85484,2021-01-23T00:00:00.0000000Z,21.01219,4701692.928,2021-01-23T00:00:00.0000000Z,0,0
Jan,2021-01-28T00:00:00.0000000Z,33533.9,44920.47942,2021-01-28T00:00:00.0000000Z,1374.05,524839.946,2021-01-28T00:00:00.0000000Z,131.98,414570.7358,2021-01-28T00:00:00.0000000Z,0.408881,213429199.9,2021-01-28T00:00:00.0000000Z,0.034816,16299438719,2021-01-28T00:00:00.0000000Z,0.323012,282385804.9,2021-01-28T00:00:00.0000000Z,0.37115,1007208375,2021-01-28T00:00:00.0000000Z,1.390789,323486.9729,2021-01-28T00:00:00.0000000Z,7.0034,528004.6254,2021-01-28T00:00:00.0000000Z,0.37115,1007208375,2021-01-28T00:00:00.0000000Z,7.0034,528004.6254,2021-01-28T00:00:00.0000000Z,1.0003,371788203.7,2021-01-28T00:00:00.0000000Z,103.442,42609.46481,2021-01-28T00:00:00.0000000Z,22.9,2842572.007,2021-01-28T00:00:00.0000000Z,0,0
Feb,2021-02-02T00:00:00.0000000Z,39257,34943.64575,2021-02-02T00:00:00.0000000Z,1678.92,773087.7362,2021-02-02T00:00:00.0000000Z,155.75,578020.7495,2021-02-02T00:00:00.0000000Z,0.635,400534782.7,2021-02-02T00:00:00.0000000Z,0.0577316,6709760380,2021-02-02T00:00:00.0000000Z,0.378,141616184.2,2021-02-02T00:00:00.0000000Z,0.44412,261437348.1,2021-02-02T00:00:00.0000000Z,1.630051,480380.3034,2021-02-02T00:00:00.0000000Z,8.1653,734516.895,2021-02-02T00:00:00.0000000Z,0.44412,261437348.1,2021-02-02T00:00:00.0000000Z,8.1653,734516.895,2021-02-02T00:00:00.0000000Z,1.0015,330054229.5,2021-02-02T00:00:00.0000000Z,118.578,49691.60884,2021-02-02T00:00:00.0000000Z,25.02797,3784807.465,2021-02-02T00:00:00.0000000Z,0,0
Feb,2021-02-07T00:00:00.0000000Z,47962.8,43803.19549,2021-02-07T00:00:00.0000000Z,1786.31,569170.0546,2021-02-07T00:00:00.0000000Z,183.98,715704.07,2021-02-07T00:00:00.0000000Z,0.929935,545124836.3,2021-02-07T00:00:00.0000000Z,0.0696946,6869075445,2021-02-07T00:00:00.0000000Z,0.45636,180743810.9,2021-02-07T00:00:00.0000000Z,0.52917,215473767.4,2021-02-07T00:00:00.0000000Z,2.441914,957241.1998,2021-02-07T00:00:00.0000000Z,10.4942,1214627.969,2021-02-07T00:00:00.0000000Z,0.52917,215473767.4,2021-02-07T00:00:00.0000000Z,10.4942,1214627.969,2021-02-07T00:00:00.0000000Z,1.0004,431523111.4,2021-02-07T00:00:00.0000000Z,164.912,72383.69265,2021-02-07T00:00:00.0000000Z,27.89645,3285601.337,2021-02-07T00:00:00.0000000Z,0,0
Feb,2021-02-12T00:00:00.0000000Z,49218.7,23030.73727,2021-02-12T00:00:00.0000000Z,1781.69,437218.1881,2021-02-12T00:00:00.0000000Z,209.86,907085.3046,2021-02-12T00:00:00.0000000Z,0.871539,335155274,2021-02-12T00:00:00.0000000Z,0.0534781,2112443822,2021-02-12T00:00:00.0000000Z,0.485485,198835264.7,2021-02-12T00:00:00.0000000Z,0.51985,236747177,2021-02-12T00:00:00.0000000Z,3.22786,1939307.132,2021-02-12T00:00:00.0000000Z,11.0529,1131376.613,2021-02-12T00:00:00.0000000Z,0.51985,236747177,2021-02-12T00:00:00.0000000Z,11.0529,1131376.613,2021-02-12T00:00:00.0000000Z,1.0002,383800179.2,2021-02-12T00:00:00.0000000Z,249.453,235592.5622,2021-02-12T00:00:00.0000000Z,31.98755,3788976.414,2021-02-12T00:00:00.0000000Z,0,0
