,BTC_start_date,price_open,price_close,ETH_start_date,price_open,price_close,LTC_start_date,price_open,price_close,ZEC_start_date,price_open,price_close,USDT_start_date,price_open,price_close,XLM_start_date,price_open,price_close,XRP_start_date,price_open,price_close,DASH_start_date,price_open,price_close,ADA_start_date,price_open,price_close,SOL_start_date,price_open,price_close,DOGE_start_date,price_open,price_close,LISK_start_date,price_open,price_close,WAVES_start_date,price_open,price_close,LINK_start_date,price_open,price_close
0,2020-12-31T00:00:00.0000000Z,28978.66,32218.38,2020-12-31T00:00:00.0000000Z,737.89,775.3,2020-12-31T00:00:00.0000000Z,124.42,137.13,2020-12-31T00:00:00.0000000Z,64.18,57.5,2020-12-31T00:00:00.0000000Z,1.0011,1.0009,2020-12-31T00:00:00.0000000Z,0.127619,0.127517,2020-12-31T00:00:00.0000000Z,0.21994,0.22108,2020-12-31T00:00:00.0000000Z,99.72,86.919,2020-12-31T00:00:00.0000000Z,0.181702,0.177523,2020-12-31T00:00:00.0000000Z,1.5163,1.7909,2020-12-31T00:00:00.0000000Z,0.0046804,0.0105776,2020-12-31T00:00:00.0000000Z,1.144953,1.143472,2020-12-31T00:00:00.0000000Z,6.2,5.5972,2020-12-31T00:00:00.0000000Z,11.25,12.20905
1,2021-01-03T00:00:00.0000000Z,32200.39,34036.08,2021-01-03T00:00:00.0000000Z,775.29,1103.73,2021-01-03T00:00:00.0000000Z,137.1,159.03,2021-01-03T00:00:00.0000000Z,57.5,59.95,2021-01-03T00:00:00.0000000Z,1.0009,1.0028,2021-01-03T00:00:00.0000000Z,0.127517,0.193685,2021-01-03T00:00:00.0000000Z,0.22108,0.22635,2021-01-03T00:00:00.0000000Z,86.96,89.181,2021-01-03T00:00:00.0000000Z,0.177498,0.259869,2021-01-03T00:00:00.0000000Z,1.8143,2.1585,2021-01-03T00:00:00.0000000Z,0.0105037,0.01,2021-01-03T00:00:00.0000000Z,1.158654,1.229452,2021-01-03T00:00:00.0000000Z,5.596,5.5992,2021-01-03T00:00:00.0000000Z,12.21602,14.54549
2,2021-01-06T00:00:00.0000000Z,34045.29,40622.87,2021-01-06T00:00:00.0000000Z,1103.71,1217.35,2021-01-06T00:00:00.0000000Z,159.01,172.46,2021-01-06T00:00:00.0000000Z,59.91,69.02,2021-01-06T00:00:00.0000000Z,1.0029,1.0011,2021-01-06T00:00:00.0000000Z,0.193538,0.297634,2021-01-06T00:00:00.0000000Z,0.22647,0.3211,2021-01-06T00:00:00.0000000Z,89.363,96.696,2021-01-06T00:00:00.0000000Z,0.26,0.304143,2021-01-06T00:00:00.0000000Z,2.1722,3.2364,2021-01-06T00:00:00.0000000Z,0.010007,0.009794,2021-01-06T00:00:00.0000000Z,1.212594,1.313675,2021-01-06T00:00:00.0000000Z,5.5889,5.5971,2021-01-06T00:00:00.0000000Z,14.57817,15.25904
3,2021-01-09T00:00:00.0000000Z,40622.87,35494.0,2021-01-09T00:00:00.0000000Z,1217.31,1088.79,2021-01-09T00:00:00.0000000Z,172.46,139.43,2021-01-09T00:00:00.0000000Z,68.87,88.82,2021-01-09T00:00:00.0000000Z,1.0011,1.0008,2021-01-09T00:00:00.0000000Z,0.297556,0.272216,2021-01-09T00:00:00.0000000Z,0.3211,0.28781,2021-01-09T00:00:00.0000000Z,96.458,125.121,2021-01-09T00:00:00.0000000Z,0.304499,0.275419,2021-01-09T00:00:00.0000000Z,3.2311,3.1455,2021-01-09T00:00:00.0000000Z,0.009782,0.0087557,2021-01-09T00:00:00.0000000Z,1.284872,1.242617,2021-01-09T00:00:00.0000000Z,5.6427,5.63,2021-01-09T00:00:00.0000000Z,15.25172,14.63654
4,2021-01-12T00:00:00.0000000Z,35495.77,39127.1,2021-01-12T00:00:00.0000000Z,1088.55,1231.32,2021-01-12T00:00:00.0000000Z,139.35,152.38,2021-01-12T00:00:00.0000000Z,88.17,111.77,2021-01-12T00:00:00.0000000Z,1.0008,0.9989,2021-01-12T00:00:00.0000000Z,0.272112,0.303117,2021-01-12T00:00:00.0000000Z,0.28772,0.29573,2021-01-12T00:00:00.0000000Z,125.2,132.664,2021-01-12T00:00:00.0000000Z,0.276339,0.311178,2021-01-12T00:00:00.0000000Z,3.1456,3.6316,2021-01-12T00:00:00.0000000Z,0.0087906,0.0093892,2021-01-12T00:00:00.0000000Z,1.230056,1.353658,2021-01-12T00:00:00.0000000Z,5.5852,6.41,2021-01-12T00:00:00.0000000Z,14.65474,17.96932
5,2021-01-15T00:00:00.0000000Z,39101.96,35810.0,2021-01-15T00:00:00.0000000Z,1231.59,1232.99,2021-01-15T00:00:00.0000000Z,152.38,142.8,2021-01-15T00:00:00.0000000Z,110.79,102.05,2021-01-15T00:00:00.0000000Z,0.9988,0.9997,2021-01-15T00:00:00.0000000Z,0.303346,0.3035,2021-01-15T00:00:00.0000000Z,0.29627,0.27732,2021-01-15T00:00:00.0000000Z,132.626,123.742,2021-01-15T00:00:00.0000000Z,0.311177,0.381833,2021-01-15T00:00:00.0000000Z,3.606,3.8204,2021-01-15T00:00:00.0000000Z,0.0094036,0.0090783,2021-01-15T00:00:00.0000000Z,1.375825,1.40526,2021-01-15T00:00:00.0000000Z,6.4404,7.3756,2021-01-15T00:00:00.0000000Z,17.96932,23.3
6,2021-01-18T00:00:00.0000000Z,35810.0,35489.1,2021-01-18T00:00:00.0000000Z,1232.6,1376.88,2021-01-18T00:00:00.0000000Z,142.76,149.77,2021-01-18T00:00:00.0000000Z,102.34,99.14,2021-01-18T00:00:00.0000000Z,0.9997,1.0007,2021-01-18T00:00:00.0000000Z,0.303736,0.293478,2021-01-18T00:00:00.0000000Z,0.27766,0.29534,2021-01-18T00:00:00.0000000Z,124.372,121.408,2021-01-18T00:00:00.0000000Z,0.382814,0.375427,2021-01-18T00:00:00.0000000Z,3.8362,3.737,2021-01-18T00:00:00.0000000Z,0.0091439,0.0090494,2021-01-18T00:00:00.0000000Z,1.385001,1.526393,2021-01-18T00:00:00.0000000Z,7.3908,7.1935,2021-01-18T00:00:00.0000000Z,23.29998,21.86624
7,2021-01-21T00:00:00.0000000Z,35494.34,32123.61,2021-01-21T00:00:00.0000000Z,1377.15,1234.55,2021-01-21T00:00:00.0000000Z,149.82,137.76,2021-01-21T00:00:00.0000000Z,99.27,85.92,2021-01-21T00:00:00.0000000Z,1.0007,1.0008,2021-01-21T00:00:00.0000000Z,0.293478,0.270113,2021-01-21T00:00:00.0000000Z,0.29596,0.27176,2021-01-21T00:00:00.0000000Z,121.516,105.179,2021-01-21T00:00:00.0000000Z,0.376,0.34562,2021-01-21T00:00:00.0000000Z,3.7169,3.5204,2021-01-21T00:00:00.0000000Z,0.0090999,0.0085614,2021-01-21T00:00:00.0000000Z,1.470001,1.364517,2021-01-21T00:00:00.0000000Z,7.2087,6.6019,2021-01-21T00:00:00.0000000Z,21.91884,24.80432
8,2021-01-24T00:00:00.0000000Z,32114.6,32517.86,2021-01-24T00:00:00.0000000Z,1234.47,1367.98,2021-01-24T00:00:00.0000000Z,137.78,134.79,2021-01-24T00:00:00.0000000Z,85.69,89.26,2021-01-24T00:00:00.0000000Z,1.0008,1.0012,2021-01-24T00:00:00.0000000Z,0.269685,0.261816,2021-01-24T00:00:00.0000000Z,0.27189,0.26866,2021-01-24T00:00:00.0000000Z,104.112,104.745,2021-01-24T00:00:00.0000000Z,0.345809,0.344232,2021-01-24T00:00:00.0000000Z,3.5152,4.0499,2021-01-24T00:00:00.0000000Z,0.0085359,0.0082577,2021-01-24T00:00:00.0000000Z,1.369472,1.312699,2021-01-24T00:00:00.0000000Z,6.5911,6.7725,2021-01-24T00:00:00.0000000Z,24.80694,23.0445
9,2021-01-27T00:00:00.0000000Z,32513.73,34272.02,2021-01-27T00:00:00.0000000Z,1367.97,1379.87,2021-01-27T00:00:00.0000000Z,134.88,134.91,2021-01-27T00:00:00.0000000Z,89.08,85.59,2021-01-27T00:00:00.0000000Z,1.0011,1.0004,2021-01-27T00:00:00.0000000Z,0.261817,0.293546,2021-01-27T00:00:00.0000000Z,0.26851,0.28314,2021-01-27T00:00:00.0000000Z,104.579,104.722,2021-01-27T00:00:00.0000000Z,0.344001,0.347549,2021-01-27T00:00:00.0000000Z,4.0499,3.8499,2021-01-27T00:00:00.0000000Z,0.0082646,0.0457876,2021-01-27T00:00:00.0000000Z,1.29131,1.316271,2021-01-27T00:00:00.0000000Z,6.8447,6.5013,2021-01-27T00:00:00.0000000Z,23.14944,22.75979
